,CV,Model,Model_Accuracy,Model_STD,Accuracy_Score
118,10,QuadraticDiscriminantAnalysis,0.804,0.018,0.809
101,9,QuadraticDiscriminantAnalysis,0.804,0.017,0.809
33,5,QuadraticDiscriminantAnalysis,0.804,0.012,0.809
16,4,QuadraticDiscriminantAnalysis,0.804,0.016,0.809
71,8,PassiveAggressiveClassifier,0.803,0.046,0.804
93,9,GaussianNB,0.797,0.015,0.797
76,8,GaussianNB,0.797,0.016,0.797
110,10,GaussianNB,0.797,0.017,0.797
42,6,GaussianNB,0.797,0.017,0.797
25,5,GaussianNB,0.797,0.014,0.797
8,4,GaussianNB,0.797,0.017,0.797
59,7,GaussianNB,0.796,0.015,0.797
37,6,PassiveAggressiveClassifier,0.785,0.06,0.822
20,5,PassiveAggressiveClassifier,0.749,0.136,0.825
88,9,PassiveAggressiveClassifier,0.732,0.146,0.823
54,7,PassiveAggressiveClassifier,0.702,0.179,0.716
