,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
77,8,GaussianNB,0.855,0.008,0.847,0.85,1038,103,116,174
43,6,GaussianNB,0.853,0.007,0.853,0.85,1060,99,111,161
1,4,LogisticRegression,0.85,0.002,0.846,0.85,1070,86,135,140
69,8,LogisticRegression,0.849,0.007,0.843,0.84,1061,80,144,146
35,6,LogisticRegression,0.849,0.009,0.857,0.86,1088,71,133,139
103,10,LogisticRegression,0.849,0.009,0.85,0.85,1066,80,135,150
18,5,LogisticRegression,0.849,0.005,0.853,0.85,1074,91,120,146
52,7,LogisticRegression,0.849,0.016,0.854,0.85,1074,60,149,148
86,9,LogisticRegression,0.849,0.018,0.845,0.84,1075,74,148,134
56,7,KNeighborsClassifier,0.842,0.012,0.832,0.83,1108,26,214,83
73,8,KNeighborsClassifier,0.841,0.011,0.836,0.84,1118,23,212,78
107,10,KNeighborsClassifier,0.84,0.013,0.834,0.83,1111,35,203,82
90,9,KNeighborsClassifier,0.84,0.015,0.843,0.84,1128,21,203,79
5,4,KNeighborsClassifier,0.839,0.004,0.843,0.84,1121,35,190,85
22,5,KNeighborsClassifier,0.839,0.006,0.85,0.85,1131,34,181,85
39,6,KNeighborsClassifier,0.838,0.009,0.848,0.85,1137,22,195,77
50,6,QuadraticDiscriminantAnalysis,0.827,0.013,0.82,0.82,1034,125,132,140
101,9,QuadraticDiscriminantAnalysis,0.827,0.013,0.806,0.81,992,157,120,162
118,10,QuadraticDiscriminantAnalysis,0.825,0.017,0.827,0.83,1021,125,123,162
16,4,QuadraticDiscriminantAnalysis,0.825,0.013,0.832,0.83,1019,137,104,171
84,8,QuadraticDiscriminantAnalysis,0.824,0.015,0.831,0.83,1019,122,120,170
67,7,QuadraticDiscriminantAnalysis,0.824,0.017,0.809,0.81,994,140,134,163
33,5,QuadraticDiscriminantAnalysis,0.823,0.01,0.812,0.81,1008,157,112,154
55,7,PassiveAggressiveClassifier,0.82,0.022,0.797,0.8,1134,0,291,6
8,4,SVC,0.818,0.007,0.824,0.82,1155,1,251,24
110,10,SVC,0.818,0.012,0.82,0.82,1144,2,256,29
25,5,SVC,0.818,0.007,0.835,0.84,1165,0,236,30
42,6,SVC,0.818,0.009,0.826,0.83,1158,1,248,24
59,7,SVC,0.818,0.011,0.812,0.81,1132,2,267,30
93,9,SVC,0.818,0.016,0.82,0.82,1148,1,257,25
76,8,SVC,0.818,0.015,0.818,0.82,1141,0,261,29
72,8,PassiveAggressiveClassifier,0.815,0.015,0.816,0.82,1094,47,217,73
54,7,SGDClassifier,0.806,0.022,0.806,0.81,1086,48,229,68
38,6,PassiveAggressiveClassifier,0.806,0.019,0.827,0.83,1151,8,239,33
30,5,GaussianProcessClassifier,0.803,0.006,0.815,0.81,1165,0,265,1
115,10,GaussianProcessClassifier,0.803,0.009,0.801,0.8,1146,0,285,0
13,4,GaussianProcessClassifier,0.803,0.006,0.808,0.81,1156,0,275,0
81,8,GaussianProcessClassifier,0.803,0.014,0.798,0.8,1141,0,289,1
98,9,GaussianProcessClassifier,0.803,0.017,0.804,0.8,1149,0,281,1
64,7,GaussianProcessClassifier,0.803,0.011,0.794,0.79,1134,0,295,2
47,6,GaussianProcessClassifier,0.803,0.008,0.811,0.81,1159,0,270,2
106,10,PassiveAggressiveClassifier,0.791,0.081,0.834,0.83,1051,95,142,143
89,9,PassiveAggressiveClassifier,0.736,0.18,0.828,0.83,1105,44,202,80
21,5,PassiveAggressiveClassifier,0.729,0.205,0.835,0.84,1136,29,207,59
88,9,SGDClassifier,0.723,0.152,0.477,0.48,496,653,96,186
71,8,SGDClassifier,0.68,0.239,0.813,0.81,1141,0,268,22
20,5,SGDClassifier,0.659,0.21,0.831,0.83,1165,0,242,24
105,10,SGDClassifier,0.658,0.204,0.825,0.82,1105,41,210,75
37,6,SGDClassifier,0.643,0.192,0.826,0.83,1153,6,243,29
4,4,PassiveAggressiveClassifier,0.596,0.24,0.826,0.83,1128,28,221,54
3,4,SGDClassifier,0.555,0.26,0.352,0.35,269,887,40,235
